DBA Name,Facility Type,Risk,Zip,Inspection Date,Inspection Type,Latitude,Longitude,Location,Results
BRETT'S KITCHEN INC.,Restaurant,Risk 1 (High),60654,9/16/2014,Canvass,41.89546344,-87.63559949,"(41.89546343940486, -87.63559949263859)",Pass w/ Conditions
SWIRL WINE BAR,Restaurant,Risk 1 (High),60654,9/16/2014,Canvass,41.88990443,-87.63159249,"(41.88990442842049, -87.63159248856867)",No Entry
LOVE N LEARN ACADEMY INC,Daycare Combo 1586,Risk 1 (High),60619,9/16/2014,License,41.7584451,-87.60685482,"(41.758445099922916, -87.60685482283574)",Pass
Erie Street Market,Grocery Store,Risk 3 (Low),60622,9/16/2014,Canvass Re-Inspection,41.8933206,-87.67465755,"(41.893320596655805, -87.67465755016296)",Pass
DEALICIOUS INC.,Mobile Food Preparer,Risk 1 (High),60608,9/16/2014,License,41.85045102,-87.65879786,"(41.85045102427, -87.65879785567869)",Pass
EL MILAGRO,wholesale /retail grocer,Risk 2 (Medium),60608,9/16/2014,Canvass,41.85521908,-87.66324077,"(41.85521908321911, -87.66324077066272)",Pass
JELLYBEAN LEARNING CENTER,Daycare Above and Under 2 Years,Risk 1 (High),60619,9/16/2014,License,41.76580165,-87.61618278,"(41.76580164804015, -87.61618278066202)",Fail
ALL ABOUT KIDS LEARNING ACADEMY,Daycare Combo 1586,Risk 1 (High),60619,9/16/2014,License,41.75857225,-87.61211561,"(41.75857224813092, -87.61211561154835)",Pass
SOHO HOUSE,Restaurant,Risk 1 (High),60607,9/16/2014,Short Form Complaint,41.8835571,-87.6484324,"(41.883557097965046, -87.64843239611488)",Fail
IMMACULATE CONCEPTION SCHOOL,School,Risk 1 (High),60610,9/16/2014,Canvass,41.90850204,-87.63643566,"(41.90850203760514, -87.63643566424516)",Pass
JERKY JERK,Restaurant,Risk 1 (High),60660,9/16/2014,Complaint-Fire,41.99807015,-87.66132071,"(41.99807015118323, -87.66132071008309)",Pass
Mc DONALDS # 25509,Restaurant,Risk 2 (Medium),60639,9/16/2014,Canvass,41.93148359,-87.74199187,"(41.931483591781685, -87.74199187144147)",Pass
DANA HOTEL AND SPA,Restaurant,Risk 1 (High),60654,9/16/2014,Canvass,41.89418045,-87.62821813,"(41.89418045475969, -87.62821812644587)",Pass w/ Conditions
"FIRESIDE PUB, INC",Restaurant,Risk 1 (High),60660,9/16/2014,Complaint,41.98623081,-87.67454136,"(41.9862308107723, -87.67454136310121)",Fail
MERCADITO COUNTER,Restaurant,Risk 1 (High),60654,9/16/2014,License,41.89600475,-87.63138052,"(41.89600474720552, -87.63138051690716)",Pass
MATERNITY BVM,School,Risk 1 (High),60651,9/16/2014,Canvass Re-Inspection,41.90923372,-87.71905942,"(41.90923371652298, -87.71905941681048)",Pass
SWEETS ETCETERA INC,Restaurant,Risk 1 (High),60649,9/15/2014,Canvass,41.76262051,-87.57652348,"(41.76262051392007, -87.57652347627727)",Out of Business
SON OF A BEEF,Restaurant,Risk 2 (Medium),60608,9/15/2014,License,41.84560861,-87.6953878,"(41.84560861006466, -87.69538780161594)",Pass
PICOSITO GRILL-BAR,Restaurant,Risk 1 (High),60617,9/15/2014,Canvass,41.71376659,-87.53679586,"(41.713766587418164, -87.53679585758064)",Pass
DB'S GYROS,,Risk 3 (Low),60608,9/15/2014,Canvass,41.84560861,-87.6953878,"(41.84560861006466, -87.69538780161594)",Out of Business
CALIFORNIA RESTAURANT,,Risk 3 (Low),60608,9/15/2014,Canvass,41.84560861,-87.6953878,"(41.84560861006466, -87.69538780161594)",Out of Business
KELLY'S CUBAN SANDWICH SHOP,Restaurant,Risk 1 (High),60608,9/15/2014,Canvass,41.84560861,-87.6953878,"(41.84560861006466, -87.69538780161594)",Out of Business
FAMILY DOLLAR #2668,Grocery Store,Risk 3 (Low),60622,9/15/2014,Complaint,41.90305629,-87.69454089,"(41.90305628981269, -87.69454089298074)",Pass
LITTLE CAESAR PIZZA TREAT #1605,Restaurant,Risk 2 (Medium),60639,9/15/2014,Canvass,41.9316371,-87.74710185,"(41.931637099154415, -87.74710184515897)",Pass
CHICAGO YACHT CLUB,Restaurant,Risk 1 (High),60603,9/15/2014,Canvass Re-Inspection,41.88102972,-87.61728157,"(41.881029716882956, -87.61728156640459)",Pass
Ben's Bar Be Cue,Restaurant,Risk 1 (High),60639,9/15/2014,Canvass,41.90915796,-87.77445019,"(41.90915795561416, -87.77445018724043)",Fail
SONORA MEATS,Grocery Store,Risk 2 (Medium),60623,9/15/2014,Canvass,41.84409441,-87.7282571,"(41.844094406449955, -87.72825710002664)",Pass
JERSEY MIKES,Restaurant,Risk 1 (High),60605,9/15/2014,License,41.86753863,-87.62620848,"(41.86753862662266, -87.6262084807218)",Fail
OLIVIA'S TASTE INC,Restaurant,Risk 1 (High),60634,9/15/2014,Canvass,41.9378904,-87.80640602,"(41.937890401715364, -87.80640601940749)",Pass
DREAM CAFE & GRILLE,Restaurant,Risk 1 (High),60621,9/15/2014,License,41.78350298,-87.64438638,"(41.783502980089736, -87.64438637632864)",Fail
PARK DOLLAR & FOOD,Grocery Store,Risk 2 (Medium),60622,9/15/2014,Complaint,41.90115303,-87.69668997,"(41.90115303048925, -87.69668997374622)",Fail
JELLYBEAN LEARNING CENTER VI,Daycare (2 - 6 Years),Risk 1 (High),60619,9/15/2014,License,41.75980649,-87.60528236,"(41.75980648559773, -87.60528235886056)",Pass
EL ENCANTO MICHOACANO,Restaurant,Risk 1 (High),60623,9/15/2014,Canvass,41.84427856,-87.73057227,"(41.8442785563759, -87.73057226544616)",Pass
G N P H #NINE INC,Restaurant,Risk 1 (High),60641,9/15/2014,Short Form Complaint,41.9534702,-87.73380301,"(41.953470201055666, -87.73380301330553)",Pass
ST. BARBARA SCHOOL,School,Risk 1 (High),60608,9/15/2014,Canvass,41.84203711,-87.65270384,"(41.84203710648299, -87.65270384226547)",Pass
CREATIVE LITTLE ONES PRE-SCHOOL INC.,Daycare (2 - 6 Years),Risk 1 (High),60628,9/15/2014,License,41.72060451,-87.64333893,"(41.72060450974259, -87.6433389306927)",Pass
JIMMY JOHNS,Restaurant,Risk 2 (Medium),60610,9/15/2014,Canvass,41.91103768,-87.63621881,"(41.91103768443435, -87.63621881248947)",Fail
LEE'S GARDEN CHINESE FOOD,Restaurant,Risk 1 (High),60639,9/15/2014,Canvass Re-Inspection,41.90990784,-87.73292549,"(41.909907840247435, -87.73292548659066)",Pass
LALA FOOD MART,Grocery Store,Risk 2 (Medium),60622,9/15/2014,Complaint,41.90201943,-87.69671,"(41.90201943180487, -87.69671000491572)",Fail
CHURCH'S CHICKEN # 1068,Restaurant,Risk 2 (Medium),60623,9/15/2014,Canvass,41.85200737,-87.69586997,"(41.85200736638126, -87.6958699679283)",Fail
DESSERTS DE MANGO,Restaurant,Risk 2 (Medium),60608,9/15/2014,License,41.84653404,-87.64661507,"(41.84653404320674, -87.64661506620588)",Pass
COMFORT SUITES,Restaurant,Risk 2 (Medium),60601,9/15/2014,Canvass Re-Inspection,41.88729071,-87.62469528,"(41.88729070630988, -87.62469528319721)",Pass
Mario's Tacos Corporation,Restaurant,Risk 1 (High),60639,9/15/2014,Canvass,41.92450769,-87.73398033,"(41.92450769084945, -87.73398032565292)",Out of Business
CICS CHICAGO QUEST,School,Risk 1 (High),60610,9/15/2014,Canvass,41.90778092,-87.6455312,"(41.907780920632895, -87.64553120069333)",Pass
OLIVER'S GRILL,Restaurant,Risk 1 (High),60634,9/15/2014,Canvass,41.93841273,-87.77043454,"(41.93841272966437, -87.77043454131243)",Pass
Belding Elementary School,School,Risk 1 (High),60641,9/15/2014,Canvass,41.95890499,-87.73398223,"(41.95890498761068, -87.73398223339892)",Pass
EL TACONAZO JR.,Restaurant,Risk 1 (High),60639,9/15/2014,License,41.92450769,-87.73398033,"(41.92450769084945, -87.73398032565292)",Pass w/ Conditions
LITTLE HANDS LEARNING CENTER,Daycare (2 - 6 Years),Risk 1 (High),60643,9/15/2014,License,41.69189742,-87.67985621,"(41.69189741625341, -87.67985620594332)",Pass
MCDONALD'S,Restaurant,Risk 2 (Medium),60601,9/15/2014,Canvass Re-Inspection,41.88656737,-87.62438467,"(41.886567370886944, -87.62438467059714)",Pass
St. Ann School,School,Risk 1 (High),60608,9/15/2014,Canvass Re-Inspection,41.8565836,-87.68150295,"(41.85658359525156, -87.68150294820089)",Pass
RESTAURANT SANTIAGO,Restaurant,Risk 1 (High),60634,9/15/2014,Canvass,41.9379213,-87.7663274,"(41.93792129538633, -87.76632740192994)",No Entry
DUNKIN DONUTS,Restaurant,Risk 2 (Medium),60622,9/15/2014,Canvass,41.90281333,-87.69712881,"(41.90281332978524, -87.69712881362462)",Fail
LE PARIS BAKERY,Bakery,Risk 1 (High),60623,9/15/2014,Canvass,41.836787,-87.72344133,"(41.836787000308185, -87.72344132871899)",Pass w/ Conditions
JELLYBEAN LEARNING CENTER VI,Daycare Above and Under 2 Years,Risk 1 (High),60619,9/15/2014,License,41.76003325,-87.60528823,"(41.7600332477471, -87.6052882334811)",Fail
MRS FIELDS COOKIES,Restaurant,Risk 2 (Medium),60601,9/12/2014,Canvass,41.8846042,-87.62675949,"(41.88460419998884, -87.62675948736667)",Fail
6 DEGREES,Restaurant,Risk 1 (High),60647,9/12/2014,Canvass,41.9169095,-87.67744943,"(41.916909503346645, -87.67744942668926)",No Entry
CEMITAS PUEBLA,Restaurant,Risk 1 (High),60607,9/12/2014,License Re-Inspection,41.88668169,-87.64826444,"(41.88668168821072, -87.6482644410247)",Pass
Supermercado Santos,Grocery Store,Risk 1 (High),60623,9/12/2014,Canvass,41.83674996,-87.72613266,"(41.83674996075794, -87.72613265682901)",Pass
TROHA'S CHICKEN & SHRIMP,Restaurant,Risk 1 (High),60623,9/12/2014,Complaint,41.84408262,-87.72898371,"(41.84408262179055, -87.72898370665669)",Pass
MUNOZ MARIN-LOWELL,School,Risk 1 (High),60651,9/12/2014,Canvass,41.9056421,-87.71020463,"(41.90564209564053, -87.71020462884881)",Fail
El Sabor Latino,Restaurant,Risk 1 (High),60647,9/12/2014,Canvass Re-Inspection,41.9247696,-87.71216993,"(41.92476960356357, -87.71216993271977)",Pass
DOLLAR TREE #5461,Grocery Store,Risk 3 (Low),60619,9/12/2014,License,41.73973348,-87.60476326,"(41.739733475995614, -87.60476326467969)",Pass
THE HAT,Restaurant,Risk 2 (Medium),60622,9/12/2014,Short Form Complaint,41.91073661,-87.66792445,"(41.91073660901789, -87.66792445283261)",Pass w/ Conditions
RESTAURANTE EL COMALITO,Restaurant,Risk 1 (High),60647,9/12/2014,Canvass Re-Inspection,41.92265069,-87.68771967,"(41.92265069127367, -87.68771967162458)",Pass
ST. PIUS V SCHOOL,School,Risk 1 (High),60608,9/12/2014,Canvass,41.85536389,-87.66593319,"(41.855363885442415, -87.66593319157184)",Fail
STARBUCKS COFFEE #22423,Restaurant,Risk 2 (Medium),60610,9/12/2014,License,41.90483115,-87.63502775,"(41.90483115028203, -87.63502774510842)",Pass w/ Conditions
OSTIONERIA RESTAURANT EL EL TECOLOTE,Restaurant,Risk 1 (High),60623,9/12/2014,Canvass,41.84429435,-87.71323173,"(41.84429434676733, -87.71323173049662)",Pass
Scammon Elementary School,School,Risk 1 (High),60641,9/12/2014,Canvass,41.94164944,-87.73222901,"(41.941649437310005, -87.73222900844841)",Pass
"CIAO BELLA PIZZA & PASTA, INC.",Restaurant,Risk 1 (High),60625,9/12/2014,License Re-Inspection,41.96819486,-87.7222708,"(41.96819485557927, -87.72227079661039)",Pass
PROVIDENCE ST.MEL SCHOOL,School,Risk 1 (High),60624,9/12/2014,Canvass,41.87890206,-87.71568319,"(41.878902061837714, -87.71568319419137)",Pass
COMFORT SUITES,Restaurant,Risk 2 (Medium),60601,9/12/2014,Canvass,41.88729071,-87.62469528,"(41.88729070630988, -87.62469528319721)",Fail
CAFE DESCARTES,Restaurant,Risk 2 (Medium),60601,9/12/2014,Canvass,41.88807943,-87.62404737,"(41.88807942610461, -87.62404736976374)",Out of Business
NEAR NORTH MONTESSORI SCHOOL,School,Risk 1 (High),60642,9/12/2014,Canvass,41.9034967,-87.66389435,"(41.90349669933936, -87.66389435422715)",Pass
JEWEL FOOD STORE #3224,Grocery Store,Risk 1 (High),60634,9/12/2014,Canvass,41.95301023,-87.78770716,"(41.953010233234615, -87.78770716259851)",Pass
ACT KIPP CREATE,School,Risk 2 (Medium),60644,9/12/2014,Canvass,41.89148414,-87.74646075,"(41.891484141108315, -87.7464607517167)",Fail
"URBAN CHILD ACADEMY, LLC",Children's Services Facility,Risk 1 (High),60610,9/12/2014,License,41.89678095,-87.62992352,"(41.896780947348276, -87.62992351685278)",Pass
DUNKIN DONUTS,Restaurant,Risk 2 (Medium),60622,9/12/2014,Complaint,41.90452396,-87.66767409,"(41.90452395740259, -87.66767409011773)",Fail
PROTEIN BAR,Restaurant,Risk 1 (High),60654,9/12/2014,Canvass,41.88807428,-87.6349552,"(41.8880742810662, -87.63495520292739)",Fail
"SU NUEVA CASA DEL GALLO BRAVO, INC.",Restaurant,Risk 1 (High),60625,9/12/2014,Canvass Re-Inspection,41.96842385,-87.72135178,"(41.968423847600164, -87.72135178109974)",Pass w/ Conditions
CHARTWELLS,School,Risk 1 (High),60608,9/12/2014,Canvass,41.84547684,-87.68406506,"(41.84547683765483, -87.6840650592531)",Pass
STARBUCKS COFFEE #20797,Restaurant,Risk 2 (Medium),60618,9/12/2014,License,41.94794732,-87.68844043,"(41.94794732437379, -87.68844043392538)",Pass
LAESPIGA DE ORO BAKERY,Bakery,Risk 2 (Medium),60623,9/12/2014,Canvass,41.84637297,-87.71377081,"(41.84637296963218, -87.71377080825256)",Fail
A & S FOOD,Grocery Store,Risk 3 (Low),60629,9/12/2014,License Re-Inspection,41.77915738,-87.69803998,"(41.779157384409714, -87.69803997823509)",Pass
VITO & ANGELO PIZZERIA INC.,Restaurant,Risk 1 (High),60647,9/12/2014,Canvass,41.92469108,-87.71882929,"(41.92469107502236, -87.71882928689791)",Pass
RESTAURANT MARISCOS NAYARIT,Restaurant,Risk 1 (High),60639,9/12/2014,Canvass Re-Inspection,41.92449645,-87.73488884,"(41.92449645094012, -87.73488884007521)",Pass
TUMANS,Restaurant,Risk 1 (High),60622,9/12/2014,Canvass,41.89571957,-87.68182312,"(41.8957195700408, -87.68182311956286)",Pass
PEETE'S COFFEE & TEA,Restaurant,Risk 1 (High),60607,9/12/2014,License,41.86475002,-87.64699277,"(41.864750024522216, -87.64699276962497)",Fail
ANGELS,Daycare (2 - 6 Years),Risk 1 (High),60653,9/12/2014,License,41.82237019,-87.62142025,"(41.82237019007892, -87.62142025266414)",Pass
CAFE 787,Restaurant,Risk 1 (High),60639,9/12/2014,Canvass,41.92370261,-87.77659418,"(41.923702612440245, -87.77659418436261)",Out of Business
CANANAS,Restaurant,Risk 2 (Medium),60608,9/12/2014,Canvass,41.85029737,-87.67149278,"(41.850297368662225, -87.6714927788053)",No Entry
"TWO BROTHERS FOOD MART,INC.",Grocery Store,Risk 3 (Low),60651,9/12/2014,License Re-Inspection,41.90283323,-87.72015611,"(41.902833234311025, -87.72015611383799)",Pass
HUBBARD INN,Restaurant,Risk 1 (High),60654,9/12/2014,Canvass,41.89012394,-87.63159666,"(41.89012393802728, -87.63159665930549)",Pass
HOWARD AREA COMMUNITY CENTER,Daycare Combo 1586,Risk 1 (High),60626,9/12/2014,License,42.01826697,-87.67146123,"(42.018266967047175, -87.67146123134698)",Pass
DOMINO'S PIZZA,Restaurant,Risk 2 (Medium),60639,9/12/2014,Canvass,41.92440474,-87.74217216,"(41.924404741362615, -87.74217215830885)",Pass
GEORGIOS ON DIVISION,Restaurant,Risk 1 (High),60610,9/12/2014,License Re-Inspection,41.90382384,-87.62916036,"(41.903823842447046, -87.62916036215749)",Pass
PANADERIA EL ACAMBARO,Bakery,Risk 2 (Medium),60608,9/12/2014,Canvass,41.85785374,-87.66963565,"(41.85785373609694, -87.66963564770475)",Pass w/ Conditions
MR BROWN'S LOUNGE,Restaurant,Risk 1 (High),60622,9/12/2014,Complaint,41.89567339,-87.68451554,"(41.8956733853015, -87.68451553845719)",No Entry
CEMITAS PUEBLA,Restaurant,Risk 3 (Low),60607,9/12/2014,License Re-Inspection,41.88668169,-87.64826444,"(41.88668168821072, -87.6482644410247)",Pass
DUNKIN DONUTS,Restaurant,Risk 2 (Medium),60608,9/12/2014,Canvass,41.85785845,-87.66927556,"(41.85785845490005, -87.66927556079463)",Out of Business
LITTLE ANGELS EARLY CHILDHOOD,Children's Services Facility,Risk 1 (High),60659,9/12/2014,License,41.99716413,-87.71963744,"(41.997164131325896, -87.71963744251987)",Pass
THE HUBBARD HOUSE RESTAURANT,Restaurant,Risk 1 (High),60654,9/12/2014,Canvass,41.89012394,-87.63159666,"(41.89012393802728, -87.63159665930549)",Pass w/ Conditions
VILLAGE PIZZA,Restaurant,Risk 2 (Medium),60622,9/12/2014,Short Form Complaint,41.89585612,-87.68664749,"(41.89585612058927, -87.68664748817483)",Pass
WELLS ON WELLS,Restaurant,Risk 1 (High),60614,9/11/2014,Canvass Re-Inspection,41.91167879,-87.6345798,"(41.91167878815612, -87.63457979852183)",Pass
THE STORE FRONT,Restaurant,Risk 1 (High),60622,9/11/2014,Canvass,41.91038974,-87.67665877,"(41.910389744984386, -87.6766587723612)",Pass
WESTEND BAR & GRILL,Restaurant,Risk 1 (High),60607,9/11/2014,Canvass,41.88166708,-87.66070752,"(41.88166707708318, -87.66070751628168)",Pass
BANH MI & CO.,Restaurant,Risk 1 (High),60607,9/11/2014,Canvass,41.87694912,-87.63415934,"(41.876949124597786, -87.63415934265407)",Pass w/ Conditions
MADISON MINI MART,Grocery Store,Risk 3 (Low),60644,9/11/2014,Canvass Re-Inspection,41.88049014,-87.75443273,"(41.88049014080993, -87.75443273133736)",Pass
"PARENT COOPERATIVE FOR EARLY LEARNING, INC.",Daycare (2 - 6 Years),Risk 1 (High),60615,9/11/2014,License,41.79956925,-87.58246504,"(41.79956925486811, -87.58246503715458)",Pass
BOBY G,Restaurant,Risk 1 (High),60639,9/11/2014,Canvass,41.9189225,-87.7673216,"(41.91892249549356, -87.76732160126718)",Pass
THE PEPPER CANISTER,Restaurant,Risk 1 (High),60610,9/11/2014,Canvass Re-Inspection,41.8911158,-87.6339097,"(41.891115798430455, -87.63390970300689)",Pass
OLIVE GARDEN ITALIAN RESTAURANT,Restaurant,Risk 3 (Low),60618,9/11/2014,License Re-Inspection,41.94639767,-87.71732058,"(41.946397665207456, -87.7173205836907)",Pass
GEORGE HOT DOGS,Restaurant,Risk 2 (Medium),60623,9/11/2014,Canvass,41.84408464,-87.70517689,"(41.84408464433586, -87.70517688607757)",Pass
OLIVE GARDEN ITALIAN RESTAURANT,Restaurant,Risk 1 (High),60618,9/11/2014,License Re-Inspection,41.94639767,-87.71732058,"(41.946397665207456, -87.7173205836907)",Pass
CHAVA GROCERY,Grocery Store,Risk 2 (Medium),60608,9/11/2014,Canvass,41.84862617,-87.69520842,"(41.84862617323958, -87.69520841767134)",Pass
MELI CAFE ON GRAND,Restaurant,Risk 1 (High),60654,9/11/2014,Canvass,41.89198652,-87.63422437,"(41.891986522433626, -87.63422436802404)",Fail
